iter	Passed	Remaining
403	10074	14862
404	10095	14831
405	10123	14810
406	10145	14781
407	10171	14758
408	10192	14728
409	10221	14709
410	10246	14684
411	10271	14659
412	10302	14643
413	10327	14617
414	10353	14594
415	10381	14574
416	10403	14545
417	10434	14527
418	10463	14508
419	10487	14482
420	10515	14461
421	10541	14437
422	10567	14414
423	10596	14395
424	10621	14369
425	10646	14344
426	10671	14320
427	10695	14294
428	10723	14273
429	10749	14248
430	10780	14232
431	10803	14204
432	10825	14175
433	10850	14150
434	10875	14126
435	10897	14096
436	10921	14069
437	10946	14044
438	10972	14021
439	10999	13999
440	11022	13971
441	11041	13939
442	11068	13916
443	11097	13897
444	11126	13876
445	11148	13848
446	11172	13821
447	11196	13796
448	11230	13781
449	11258	13759
450	11280	13731
451	11302	13702
452	11329	13680
453	11356	13657
454	11377	13627
455	11403	13604
456	11426	13576
457	11451	13552
458	11477	13527
459	11504	13504
460	11526	13477
461	11552	13452
462	11574	13424
463	11597	13397
464	11625	13375
465	11653	13353
466	11679	13330
467	11706	13307
468	11734	13286
469	11758	13260
470	11781	13232
471	11805	13205
472	11827	13177
473	11852	13152
474	11877	13127
475	11899	13099
476	11920	13070
477	11943	13043
478	11972	13022
479	12000	13000
480	12029	12980
481	12054	12954
482	12079	12929
483	12104	12904
484	12131	12881
485	12158	12858
486	12183	12833
487	12207	12807
488	12235	12786
489	12259	12759
490	12280	12731
491	12303	12703
492	12323	12673
493	12353	12653
494	12382	12632
495	12411	12611
496	12441	12591
497	12461	12561
498	12487	12537
499	12516	12516
500	12541	12491
501	12565	12465
502	12594	12444
503	12624	12424
504	12648	12397
505	12675	12374
506	12699	12348
507	12720	12320
508	12748	12297
509	12769	12268
510	12793	12242
511	12823	12222
512	12852	12200
513	12884	12182
514	12904	12152
515	12932	12130
516	12961	12109
517	12985	12082
518	13007	12054
519	13033	12030
520	13062	12009
521	13087	11983
522	13118	11964
523	13145	11941
524	13168	11914
525	13198	11894
526	13226	11871
527	13250	11844
528	13272	11817
529	13299	11794
530	13323	11767
531	13351	11745
532	13378	11721
533	13400	11693
534	13427	11670
535	13448	11641
536	13472	11616
537	13503	11596
538	13527	11570
539	13561	11552
540	13585	11526
541	13609	11500
542	13636	11476
543	13658	11449
544	13680	11420
545	13702	11393
546	13726	11367
547	13749	11340
548	13772	11314
549	13800	11291
550	13828	11268
551	13851	11241
552	13882	11221
553	13908	11197
554	13936	11174
555	13967	11153
556	13990	11127
557	14018	11103
558	14039	11076
559	14064	11050
560	14089	11025
561	14124	11008
562	14151	10984
563	14173	10956
564	14199	10931
565	14224	10906
566	14249	10882
567	14273	10856
568	14298	10830
569	14324	10806
570	14349	10780
571	14379	10759
572	14400	10731
573	14426	10706
574	14452	10682
575	14482	10660
576	14513	10639
577	14533	10610
578	14555	10583
579	14581	10558
580	14606	10534
581	14631	10508
582	14655	10482
583	14681	10458
584	14705	10432
585	14729	10406
586	14751	10378
587	14778	10354
588	14801	10328
589	14825	10302
590	14850	10277
591	14879	10254
592	14904	10229
593	14928	10203
594	14955	10179
595	14982	10155
596	15012	10133
597	15033	10106
598	15056	10079
599	15084	10056
600	15108	10030
601	15130	10002
602	15154	9977
603	15181	9953
604	15208	9929
605	15237	9906
606	15262	9881
607	15288	9856
608	15316	9833
609	15338	9806
610	15361	9780
611	15392	9758
612	15415	9732
613	15441	9707
614	15464	9681
615	15488	9655
616	15511	9628
617	15537	9603
618	15561	9578
619	15592	9556
620	15622	9534
621	15646	9508
622	15672	9483
623	15696	9458
624	15722	9433
625	15747	9408
626	15772	9382
627	15794	9355
628	15817	9329
629	15847	9307
630	15873	9282
631	15898	9257
632	15922	9231
633	15948	9206
634	15974	9181
635	16005	9160
636	16035	9138
637	16064	9114
638	16091	9090
639	16116	9065
640	16143	9041
641	16172	9018
642	16198	8993
643	16223	8968
644	16247	8942
645	16278	8920
646	16305	8895
647	16331	8871
648	16353	8844
649	16382	8821
650	16410	8797
651	16438	8773
652	16473	8753
653	16495	8726
654	16518	8700
655	16543	8675
656	16565	8648
657	16594	8625
658	16622	8601
659	16648	8576
660	16673	8551
661	16699	8526
662	16728	8502
663	16753	8477
664	16782	8454
665	16804	8427
666	16828	8401
667	16851	8375
668	16875	8349
669	16904	8326
670	16934	8303
671	16962	8279
672	16985	8253
673	17007	8226
674	17030	8199
675	17056	8174
676	17085	8151
677	17105	8123
678	17133	8100
679	17159	8075
680	17180	8047
681	17208	8024
682	17233	7998
683	17258	7973
684	17281	7946
685	17309	7922
686	17336	7898
687	17364	7874
688	17392	7850
689	17421	7827
690	17448	7802
691	17475	7778
692	17497	7751
693	17518	7724
694	17545	7699
695	17571	7674
696	17600	7651
697	17628	7627
698	17652	7601
699	17680	7577
700	17703	7551
701	17728	7525
702	17751	7499
703	17775	7473
704	17798	7447
705	17823	7422
706	17846	7396
707	17876	7372
708	17900	7347
709	17926	7321
710	17953	7297
711	17976	7271
712	18002	7246
713	18027	7221
714	18053	7196
715	18079	7171
716	18107	7147
717	18132	7121
718	18161	7098
719	18192	7074
720	18219	7050
721	18243	7024
722	18271	7000
723	18299	6976
724	18330	6953
725	18355	6927
726	18378	6901
727	18402	6875
728	18426	6849
729	18455	6825
730	18481	6801
731	18517	6779
732	18545	6755
733	18573	6730
734	18595	6704
735	18621	6679
736	18651	6655
737	18676	6630
738	18699	6604
739	18727	6579
740	18761	6557
741	18787	6532
742	18814	6507
743	18842	6483
744	18870	6459
745	18895	6433
746	18917	6407
747	18945	6382
748	18971	6357
749	18999	6333
750	19036	6311
751	19064	6287
752	19089	6261
753	19118	6237
754	19149	6214
755	19181	6190
756	19207	6165
757	19231	6140
758	19258	6115
759	19282	6089
760	19329	6070
761	19358	6046
762	19379	6019
763	19402	5993
764	19426	5967
765	19457	5944
766	19487	5919
767	19508	5893
768	19532	5867
769	19556	5841
770	19581	5815
771	19602	5789
772	19632	5765
773	19656	5739
774	19680	5713
775	19705	5688
776	19731	5662
777	19760	5638
778	19792	5615
779	19820	5590
780	19849	5566
781	19871	5539
782	19899	5514
783	19924	5489
784	19945	5462
785	19969	5437
786	19997	5412
787	20025	5387
788	20060	5364
789	20093	5341
790	20117	5315
791	20143	5290
792	20165	5263
793	20192	5238
794	20213	5212
795	20237	5186
796	20266	5162
797	20290	5136
798	20315	5110
799	20338	5084
800	20368	5060
801	20391	5034
802	20415	5008
803	20439	4982
804	20462	4956
805	20486	4930
806	20508	4904
807	20539	4880
808	20564	4855
809	20593	4830
810	20619	4805
811	20641	4778
812	20666	4753
813	20694	4728
814	20722	4703
815	20752	4679
816	20774	4653
817	20804	4628
818	20831	4603
819	20856	4578
820	20883	4553
821	20907	4527
822	20932	4501
823	20959	4476
824	20980	4450
825	21008	4425
826	21033	4399
827	21056	4374
828	21082	4348
829	21107	4323
830	21133	4297
831	21156	4271
832	21187	4247
833	21213	4222
834	21238	4196
835	21269	4172
836	21296	4147
837	21324	4122
838	21351	4097
839	21380	4072
840	21403	4046
841	21429	4021
842	21451	3995
843	21478	3970
844	21504	3944
845	21531	3919
846	21559	3894
847	21584	3868
848	21611	3843
849	21633	3817
850	21656	3791
851	21681	3766
852	21705	3740
853	21729	3714
854	21758	3689
855	21784	3664
856	21808	3638
857	21831	3613
858	21857	3587
859	21880	3561
860	21903	3536
861	21927	3510
862	21954	3485
863	21976	3459
864	22001	3433
865	22029	3408
866	22054	3383
867	22080	3357
868	22103	3332
869	22128	3306
870	22153	3281
871	22176	3255
872	22196	3229
873	22222	3203
874	22248	3178
875	22271	3152
876	22297	3127
877	22322	3101
878	22347	3076
879	22373	3050
880	22398	3025
881	22425	3000
882	22452	2975
883	22477	2949
884	22508	2924
885	22533	2899
886	22557	2873
887	22580	2847
888	22607	2822
889	22628	2796
890	22654	2771
891	22678	2745
892	22700	2719
893	22721	2694
894	22749	2668
895	22777	2643
896	22803	2618
897	22829	2593
898	22857	2567
899	22883	2542
900	22906	2516
901	22933	2491
902	22957	2466
903	22981	2440
904	23011	2415
905	23040	2390
906	23066	2365
907	23089	2339
908	23110	2313
909	23132	2287
910	23160	2262
911	23187	2237
912	23212	2211
913	23237	2186
914	23263	2161
915	23290	2135
916	23310	2109
917	23333	2084
918	23356	2058
919	23380	2033
920	23405	2007
921	23428	1982
922	23457	1956
923	23481	1931
924	23506	1905
925	23530	1880
926	23553	1854
927	23571	1828
928	23593	1803
929	23618	1777
930	23644	1752
931	23667	1726
932	23695	1701
933	23725	1676
934	23751	1651
935	23776	1625
936	23806	1600
937	23834	1575
938	23853	1549
939	23875	1523
940	23893	1498
941	23914	1472
942	23933	1446
943	23953	1420
944	23970	1395
945	23986	1369
946	24004	1343
947	24022	1317
948	24038	1291
949	24059	1266
950	24076	1240
951	24089	1214
952	24104	1188
953	24119	1163
954	24133	1137
955	24147	1111
956	24156	1085
957	24165	1059
958	24175	1033
959	24186	1007
960	24197	981
961	24208	956
962	24219	930
963	24229	904
964	24239	879
965	24250	853
966	24260	827
967	24270	802
968	24281	776
969	24289	751
970	24297	725
971	24306	700
972	24314	674
973	24322	649
974	24328	623
975	24335	598
976	24341	573
977	24348	547
978	24356	522
979	24363	497
980	24369	471
981	24376	446
982	24382	421
983	24388	396
984	24394	371
985	24400	346
986	24407	321
987	24413	296
988	24420	271
989	24426	246
990	24432	221
991	24438	197
992	24444	172
993	24450	147
994	24456	122
995	24462	98
996	24468	73
997	24474	49
998	24480	24
999	24486	0
8	25
999	25385	0

